source	sample	population	superpopulation
1000g	NA12155	CEU	EUR
1000g	NA18562	CHB	EAS
1000g	HG02786	PJL	SAS
1000g	NA12249	CEU	EUR
1000g	NA18567	CHB	EAS
1000g	HG02793	PJL	SAS
1000g	NA12275	CEU	EUR
1000g	NA18574	CHB	EAS
1000g	HG02798	GWD	AFR
1000g	NA12282	CEU	EUR
1000g	NA18579	CHB	EAS
1000g	HG02806	GWD	AFR
1000g	NA12287	CEU	EUR
1000g	NA18593	CHB	EAS
1000g	HG02813	GWD	AFR
1000g	NA12340	CEU	EUR
1000g	NA18606	CHB	EAS
1000g	HG02818	GWD	AFR
1000g	NA12376	CEU	EUR
1000g	NA18613	CHB	EAS
1000g	HG02971	ESN	AFR
1000g	NA12383	CEU	EUR
1000g	NA18618	CHB	EAS
1000g	HG02976	ESN	AFR
1000g	NA12489	CEU	EUR
1000g	NA18620	CHB	EAS
1000g	HG02983	GWD	AFR
1000g	NA10851	CEU	EUR
1000g	NA18625	CHB	EAS
1000g	HG03006	BEB	SAS
1000g	NA10856	CEU	EUR
1000g	NA18632	CHB	EAS
1000g	HG03018	PJL	SAS
1000g	NA10863	CEU	EUR
1000g	NA18637	CHB	EAS
1000g	HG02654	PJL	SAS
1000g	NA11830	CEU	EUR
1000g	NA18644	CHB	EAS
1000g	HG02659	PJL	SAS
1000g	NA11892	CEU	EUR
1000g	NA18740	CHB	EAS
1000g	HG02661	PJL	SAS
1000g	NA11917	CEU	EUR
1000g	NA18745	CHB	EAS
1000g	HG02666	GWD	AFR
1000g	NA11931	CEU	EUR
1000g	NA18757	CHB	EAS
1000g	HG02678	GWD	AFR
1000g	NA11993	CEU	EUR
1000g	HG02680	GWD	AFR
1000g	NA12004	CEU	EUR
1000g	NA18853	YRI	AFR
1000g	HG02685	PJL	SAS
1000g	HG04238	ITU	SAS
1000g	NA18916	YRI	AFR
1000g	HG02692	PJL	SAS
1000g	NA18923	YRI	AFR
1000g	HG02697	PJL	SAS
1000g	NA06994	CEU	EUR
1000g	NA18930	YRI	AFR
1000g	HG02700	PJL	SAS
1000g	NA07000	CEU	EUR
1000g	NA18935	YRI	AFR
1000g	HG02717	GWD	AFR
1000g	NA07029	CEU	EUR
1000g	NA18942	JPT	EAS
1000g	HG02724	PJL	SAS
1000g	NA07031	CEU	EUR
1000g	NA18947	JPT	EAS
1000g	HG02729	PJL	SAS
1000g	NA07048	CEU	EUR
1000g	NA18954	JPT	EAS
1000g	HG02731	PJL	SAS
1000g	NA07055	CEU	EUR
1000g	NA18959	JPT	EAS
1000g	HG02736	PJL	SAS
1000g	NA07346	CEU	EUR
1000g	NA18961	JPT	EAS
1000g	HG02762	GWD	AFR
1000g	NA07435	CEU	EUR
1000g	NA18966	JPT	EAS
1000g	HG02774	PJL	SAS
1000g	NA10837	CEU	EUR
1000g	NA18973	JPT	EAS
1000g	HG04194	BEB	SAS
1000g	NA18978	JPT	EAS
1000g	HG02820	GWD	AFR
1000g	HG04199	STU	SAS
1000g	HG02837	GWD	AFR
1000g	HG04202	ITU	SAS
1000g	NA19058	JPT	EAS
1000g	HG02851	GWD	AFR
1000g	HG04214	ITU	SAS
1000g	NA19060	JPT	EAS
1000g	HG02856	GWD	AFR
1000g	HG04219	ITU	SAS
1000g	NA19065	JPT	EAS
1000g	HG02870	GWD	AFR
1000g	HG04093	ITU	SAS
1000g	NA19072	JPT	EAS
1000g	HG02882	GWD	AFR
1000g	HG04098	ITU	SAS
1000g	NA19077	JPT	EAS
1000g	HG02887	GWD	AFR
1000g	HG04106	STU	SAS
1000g	NA19084	JPT	EAS
1000g	HG03025	GWD	AFR
1000g	HG04118	ITU	SAS
1000g	NA19089	JPT	EAS
1000g	HG03049	GWD	AFR
1000g	HG04132	BEB	SAS
1000g	NA19091	JPT	EAS
1000g	HG03056	MSL	AFR
1000g	NA19096	YRI	AFR
1000g	HG02938	ESN	AFR
1000g	HG02945	ESN	AFR
1000g	HG04062	ITU	SAS
1000g	NA19109	YRI	AFR
1000g	HG02952	ESN	AFR
1000g	NA18497	YRI	AFR
1000g	HG02964	ESN	AFR
1000g	HG04144	BEB	SAS
1000g	NA18500	YRI	AFR
1000g	HG04149	BEB	SAS
1000g	NA18505	YRI	AFR
1000g	HG03239	PJL	SAS
1000g	HG04151	BEB	SAS
1000g	NA18517	YRI	AFR
1000g	HG03241	GWD	AFR
1000g	HG04156	BEB	SAS
1000g	NA18531	CHB	EAS
1000g	HG03246	GWD	AFR
1000g	HG04175	BEB	SAS
1000g	NA18536	CHB	EAS
1000g	HG03258	GWD	AFR
1000g	HG04182	BEB	SAS
1000g	NA18543	CHB	EAS
1000g	HG03260	GWD	AFR
1000g	HG04187	BEB	SAS
1000g	NA18548	CHB	EAS
1000g	HG03265	ESN	AFR
1000g	NA18538	CHB	EAS
1000g	NA18550	CHB	EAS
1000g	HG03272	ESN	AFR
1000g	NA18545	CHB	EAS
1000g	NA19116	YRI	AFR
1000g	HG03291	ESN	AFR
1000g	NA18552	CHB	EAS
1000g	NA19123	YRI	AFR
1000g	HG03342	ESN	AFR
1000g	NA18557	CHB	EAS
1000g	NA19128	YRI	AFR
1000g	HG03354	ESN	AFR
1000g	NA18564	CHB	EAS
1000g	NA19130	YRI	AFR
1000g	NA18571	CHB	EAS
1000g	NA19142	YRI	AFR
1000g	HG03366	ESN	AFR
1000g	NA19147	YRI	AFR
1000g	HG03373	ESN	AFR
1000g	NA18595	CHB	EAS
1000g	NA19154	YRI	AFR
1000g	HG03164	ESN	AFR
1000g	NA18603	CHB	EAS
1000g	NA19159	YRI	AFR
1000g	HG03169	ESN	AFR
1000g	NA18608	CHB	EAS
1000g	NA19161	YRI	AFR
1000g	NA18610	CHB	EAS
1000g	NA18615	CHB	EAS
1000g	NA19173	YRI	AFR
1000g	HG03190	ESN	AFR
1000g	NA18622	CHB	EAS
1000g	NA18858	YRI	AFR
1000g	HG03121	ESN	AFR
1000g	NA18627	CHB	EAS
1000g	NA18860	YRI	AFR
1000g	HG03126	ESN	AFR
1000g	NA18634	CHB	EAS
1000g	NA18865	YRI	AFR
1000g	HG03133	ESN	AFR
1000g	NA18639	CHB	EAS
1000g	NA18872	YRI	AFR
1000g	NA18641	CHB	EAS
1000g	NA18877	YRI	AFR
1000g	HG03157	ESN	AFR
1000g	NA18646	CHB	EAS
1000g	NA18909	YRI	AFR
1000g	HG03296	ESN	AFR
1000g	NA18747	CHB	EAS
1000g	NA18911	YRI	AFR
1000g	HG03304	ESN	AFR
1000g	NA19031	LWK	AFR
1000g	NA19248	YRI	AFR
1000g	HG03309	ESN	AFR
1000g	NA19036	LWK	AFR
1000g	HG03311	ESN	AFR
1000g	NA19043	LWK	AFR
1000g	NA19318	LWK	AFR
1000g	HG03195	ESN	AFR
1000g	NA19055	JPT	EAS
1000g	NA19320	LWK	AFR
1000g	NA19062	JPT	EAS
1000g	NA19332	LWK	AFR
1000g	HG03234	PJL	SAS
1000g	NA19067	JPT	EAS
1000g	NA19351	LWK	AFR
1000g	HG03099	ESN	AFR
1000g	NA19074	JPT	EAS
1000g	NA19375	LWK	AFR
1000g	NA19079	JPT	EAS
