source	sample	sex	population	population_name	long_ID	pop_ID	annotation	superpopulation	superpopulation_name
appg	APPG7555958	Male	OMN	Oman	longranger222_wgs_27631_APPG7555958_GRCh38_gatk	OMAN1	Oman	MEA	Middle Eastern Ancestry
appg	APPG7555959	Female	OMN	Oman	longranger222_wgs_27582_APPG7555959_GRCh38_gatk	OMAN2	Oman.o	MEA	Middle Eastern Ancestry
appg	APPG7555960	Female	OMN	Oman	longranger222_wgs_27582_APPG7555960_GRCh38_gatk	OMAN3	Oman	MEA	Middle Eastern Ancestry
appg	APPG7555961	Female	UAE	United Arab Emirates 	longranger222_wgs_27582_APPG7555961_GRCh38_gatk	UAE57	EmiratiC	MEA	Middle Eastern Ancestry
appg	APPG7623331	Male	UAE	United Arab Emirates 	longranger222_wgs_27582_APPG7623331_GRCh38_gatk	UAE3	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7623332	Male	UAE	United Arab Emirates 	longranger222_wgs_27582_APPG7623332_GRCh38_gatk	UAE10	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7623333	Male	UAE	United Arab Emirates 	longranger222_wgs_27582_APPG7623333_GRCh38_gatk	UAE49	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7623334	Male	IRQ	Iraq	longranger222_wgs_27582_APPG7623334_GRCh38_gatk	IRAQ11	Arab	MEA	Middle Eastern Ancestry
appg	APPG7623335	Male	IRQ	Iraq	longranger222_wgs_27582_APPG7623335_GRCh38_gatk	IRAQ12	Arab	MEA	Middle Eastern Ancestry
appg	APPG7623336	Female	JOR	Jordan	longranger222_wgs_APPG7623336_GRCh38_gatk	JORDAN1	Jordan	MEA	Middle Eastern Ancestry
appg	APPG7623337	Female	SYR	Syria	longranger222_wgs_APPG7623337_GRCh38_gatk	SYRIA3	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623338	Female	SYR	Syria	longranger222_wgs_27751_APPG7623338_GRCh38_gatk	SYRIA4	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623339	Female	SYR	Syria	longranger222_wgs_27751_APPG7623339_GRCh38_gatk	SYRIA5	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623340	Male	SYR	Syria	longranger222_wgs_27751_APPG7623340_GRCh38_gatk	SYRIA6	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623341	Male	SYR	Syria	longranger222_wgs_27751_APPG7623341_GRCh38_gatk	SYRIA7	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623342	Male	SYR	Syria	longranger222_wgs_27751_APPG7623342_GRCh38_gatk	SYRIA8	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623343	Female	SYR	Syria	longranger222_wgs_27751_APPG7623343_GRCh38_gatk	SYRIA9	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623344	Male	SYR	Syria	longranger222_wgs_APPG7623344_GRCh38_gatk	SYRIA10	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623345	Female	SYR	Syria	longranger222_wgs_27726_APPG7623345_GRCh38_gatk	SYRIA11	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623346	Female	JOR	Jordan	longranger222_wgs_APPG7623346_GRCh38_gatk	JORDAN2	Jordan	MEA	Middle Eastern Ancestry
appg	APPG7623347	Male	JOR	Jordan	longranger222_wgs_27726_APPG7623347_GRCh38_gatk	JORDAN3	Jordan	MEA	Middle Eastern Ancestry
appg	APPG7623348	Male	YEM	Yemen	longranger222_wgs_27726_APPG7623348_GRCh38_gatk	YEMEN22	Yemen	MEA	Middle Eastern Ancestry
appg	APPG7623349	Male	SYR	Syria	longranger222_wgs_APPG7623349_GRCh38_gatk	SYRIA12	Syria	MEA	Middle Eastern Ancestry
appg	APPG7623350	Female	SAU	Saudi Arabia	longranger222_wgs_27726_APPG7623350_GRCh38_gatk	SAUDI10	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7623351	Male	SAU	Saudi Arabia	longranger222_wgs_27726_APPG7623351_GRCh38_gatk	SAUDI11	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7836393	Male	SAU	Saudi Arabia	longranger222_wgs_28927_APPG7836393_GRCh38_gatk	SAUDI12	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7836394	Male	SAU	Saudi Arabia	longranger222_wgs_28927_APPG7836394_GRCh38_gatk	SAUDI13	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836395	Male	SAU	Saudi Arabia	longranger222_wgs_28927_APPG7836395_GRCh38_gatk	SAUDI14	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836396	Female	SAU	Saudi Arabia	longranger222_wgs_29106_APPG7836396_GRCh38_gatk	SAUDI15	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836397	Male	SAU	Saudi Arabia	longranger222_wgs_28990_APPG7836397_GRCh38_gatk	SAUDI16	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836398	Male	SAU	Saudi Arabia	longranger222_wgs_28990_APPG7836398_GRCh38_gatk	SAUDI17	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7836399	Male	SAU	Saudi Arabia	longranger222_wgs_28990_APPG7836399_GRCh38_gatk	SAUDI18	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836401	Male	SAU	Saudi Arabia	longranger222_wgs_28990_APPG7836401_GRCh38_gatk	SAUDI20	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836402	Male	SAU	Saudi Arabia	longranger222_wgs_28990_APPG7836402_GRCh38_gatk	SAUDI21	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836403	Male	SAU	Saudi Arabia	longranger222_wgs_28927_APPG7836403_GRCh38_gatk	SAUDI22	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7836404	Female	SAU	Saudi Arabia	longranger222_wgs_29106_APPG7836404_GRCh38_gatk	SAUDI23	Saudi.o	MEA	Middle Eastern Ancestry
appg	APPG7836405	Male	SAU	Saudi Arabia	longranger222_wgs_29106_APPG7836405_GRCh38_gatk	SAUDI24	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836406	Male	SAU	Saudi Arabia	longranger222_wgs_29106_APPG7836406_GRCh38_gatk	SAUDI25	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836407	Male	SAU	Saudi Arabia	longranger222_wgs_29106_APPG7836407_GRCh38_gatk	SAUDI26	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7836408	Male	SAU	Saudi Arabia	longranger222_wgs_29106_APPG7836408_GRCh38_gatk	SAUDI28	SaudiA	MEA	Middle Eastern Ancestry
appg	APPG7836409	Male	IRQ	Iraq	longranger222_wgs_29106_APPG7836409_GRCh38_gatk	IRAQ13	Kurd	MEA	Middle Eastern Ancestry
appg	APPG7836410	Male	IRQ	Iraq	longranger222_wgs_29106_APPG7836410_GRCh38_gatk	IRAQ14	Kurd	MEA	Middle Eastern Ancestry
appg	APPG7850840	Female	SAU	Saudi Arabia	longranger222_wgs_29691_APPG7850840_GRCh38_gatk	SAUDI27	SaudiB	MEA	Middle Eastern Ancestry
appg	APPG7850841	Male	SAU	Saudi Arabia	longranger222_wgs_29691_APPG7850841_GRCh38_gatk	SAUDI29	SaudiB	MEA	Middle Eastern Ancestry
