source	sample	population	population_name	superpopulation	superpopulation_name
hgdp	HGDP00179	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00181	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00183	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00185	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00187	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00189	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00191	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00192	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00197	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00199	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00201	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00205	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00206	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00210	SND	Sindhi	CSA	Central and South Asian Ancestry
hgdp	HGDP00213	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00214	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00218	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00222	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00224	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00226	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00228	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00230	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00234	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00237	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00239	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00241	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00243	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00244	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00247	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00248	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00251	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00254	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00258	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00259	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00262	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00264	PTH	Pathan	CSA	Central and South Asian Ancestry
hgdp	HGDP00274	KLS	Kalash	CSA	Central and South Asian Ancestry
hgdp	HGDP00277	KLS	Kalash	CSA	Central and South Asian Ancestry
hgdp	HGDP00279	KLS	Kalash	CSA	Central and South Asian Ancestry
hgdp	HGDP00281	KLS	Kalash	CSA	Central and South Asian Ancestry
hgdp	HGDP00285	KLS	Kalash	CSA	Central and South Asian Ancestry
hgdp	HGDP00288	KLS	Kalash	CSA	Central and South Asian Ancestry
hgdp	HGDP00290	KLS	Kalash	CSA	Central and South Asian Ancestry
hgdp	HGDP00298	KLS	Kalash	CSA	Central and South Asian Ancestry
hgdp	HGDP00302	KLS	Kalash	CSA	Central and South Asian Ancestry
