source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
1000g	HG00355	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00356	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00357	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00358	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00360	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00361	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00362	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00364	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00365	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00366	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00367	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00368	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00369	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00371	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00372	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00373	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00375	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00376	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00378	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00379	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00380	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00381	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00382	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00383	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00384	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00403	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00404	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00405	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00406	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00407	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00408	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00409	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00410	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00418	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00419	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00420	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00421	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00422	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00423	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00427	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00428	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00429	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00436	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00437	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00438	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00442	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00443	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00444	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00445	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00446	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00447	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00448	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00449	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00450	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00451	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00452	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00453	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00457	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00458	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00459	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00463	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00464	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00465	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00472	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00473	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00474	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00475	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00476	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00477	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00478	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00479	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00480	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00500	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00501	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00502	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00512	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00513	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00514	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00524	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00525	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00526	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00530	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00531	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00532	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00533	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00534	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00535	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00536	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00537	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00538	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00542	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00543	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00544	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00551	female	PUR	Puerto Rican	Puerto Rican in Puerto Rico	AMR	American Ancestry	18.4	-66.1
1000g	HG00552	male	PUR	Puerto Rican	Puerto Rican in Puerto Rico	AMR	American Ancestry	18.4	-66.1
1000g	HG00553	male	PUR	Puerto Rican	Puerto Rican in Puerto Rico	AMR	American Ancestry	18.4	-66.1
1000g	HG00554	female	PUR	Puerto Rican	Puerto Rican in Puerto Rico	AMR	American Ancestry	18.4	-66.1
1000g	HG00555	female	PUR	Puerto Rican	Puerto Rican in Puerto Rico	AMR	American Ancestry	18.4	-66.1
1000g	HG00556	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00557	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00558	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00559	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00560	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00561	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00565	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00566	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00567	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00577	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00578	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00579	female	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
1000g	HG00580	male	CHS	Southern Han Chinese	Han Chinese South	EAS	East Asian Ancestry	23.13333	113.266667
